search_name,norm,naissances
Maeline,maeline,680.0
Marilyn,marilyn,680.0
Youssra,youssra,680.0
Gwenn,gwenn,680.0
Mayeul,mayeul,680.0
Olympe,olympe,680.0
Dawson,dawson,675.0
Juan,juan,675.0
Jean-Claude,jean-claude,675.0
Hanae,hanae,675.0
Amy,amy,675.0
France,france,675.0
Wael,wael,675.0
Françoise,francoise,670.0
Evelyne,evelyne,670.0
Mendy,mendy,670.0
Anabelle,anabelle,670.0
Katarina,katarina,665.0
Anne-Cécile,anne-cecile,665.0
Magdalena,magdalena,665.0
Nawelle,nawelle,665.0
Lorette,lorette,665.0
Noha,noha,660.0
Elyse,elyse,660.0
Jordi,jordi,660.0
Shirel,shirel,660.0
Salah,salah,660.0
Morane,morane,660.0
Coleen,coleen,660.0
Keny,keny,660.0
Malek,malek,660.0
Theotime,theotime,660.0
Sophian,sophian,660.0
Hocine,hocine,660.0
Anne-Marie,anne-marie,660.0
Sandie,sandie,655.0
Anouchka,anouchka,655.0
Lorenza,lorenza,655.0
Ian,ian,655.0
Alia,alia,655.0
Lenaic,lenaic,655.0
Kiara,kiara,655.0
Madisson,madisson,655.0
Manelle,manelle,655.0
Iness,iness,655.0
Marie-Sophie,marie-sophie,655.0
Colombe,colombe,650.0
Hafsa,hafsa,650.0
Yvann,yvann,650.0
Tanya,tanya,650.0
Cyndie,cyndie,650.0
Karla,karla,650.0
Lubin,lubin,645.0
Anae,anae,645.0
Alexie,alexie,645.0
Gaston,gaston,645.0
Cassie,cassie,645.0
Kellian,kellian,645.0
Anass,anass,645.0
Lyse,lyse,640.0
Calypso,calypso,640.0
Whitney,whitney,640.0
Matt,matt,640.0
Abigail,abigail,640.0
Thérèse,therese,640.0
Abdellah,abdellah,640.0
Claudine,claudine,640.0
Norah,norah,640.0
Hatice,hatice,635.0
Nathanaelle,nathanaelle,635.0
Leia,leia,635.0
Scott,scott,635.0
Nasser,nasser,635.0
Aymane,aymane,635.0
Noham,noham,635.0
Wafa,wafa,635.0
Iban,iban,635.0
Bruce,bruce,635.0
Rita,rita,630.0
Asmaa,asmaa,630.0
Nikola,nikola,630.0
Loana,loana,630.0
Sammy,sammy,630.0
Ianis,ianis,630.0
Elvina,elvina,630.0
Djamila,djamila,630.0
Lylia,lylia,630.0
Sherazade,sherazade,630.0
Youenn,youenn,630.0
Kelvin,kelvin,630.0
Emmie,emmie,625.0
Vinciane,vinciane,625.0
Bouchra,bouchra,625.0
Meghane,meghane,625.0
Crystal,crystal,625.0
Bettina,bettina,625.0
Ruth,ruth,625.0
Sabah,sabah,620.0
Sophiane,sophiane,620.0
Erin,erin,620.0
Mariane,mariane,615.0
Hilal,hilal,615.0
Gillian,gillian,615.0
Naelle,naelle,615.0
Marcel,marcel,615.0
Daryl,daryl,615.0
Assa,assa,615.0
Willem,willem,615.0
Natan,natan,610.0
Souleymane,souleymane,610.0
Fabienne,fabienne,610.0
Gildas,gildas,610.0
Guy,guy,610.0
Lylian,lylian,610.0
Priscilia,priscilia,610.0
Davina,davina,610.0
Samba,samba,610.0
Fabiola,fabiola,605.0
Noella,noella,605.0
Lorna,lorna,605.0
Anouar,anouar,605.0
Ramzi,ramzi,605.0
Leelou,leelou,605.0
Ken,ken,605.0
Joaquim,joaquim,605.0
Rabia,rabia,605.0
Ludmilla,ludmilla,605.0
Theau,theau,605.0
Shanon,shanon,605.0
Abigael,abigael,600.0
Curtis,curtis,600.0
Calista,calista,600.0
Gabriella,gabriella,600.0
Odile,odile,600.0
Kheira,kheira,595.0
Huseyin,huseyin,595.0
Chirine,chirine,595.0
Emilio,emilio,595.0
Anthonin,anthonin,595.0
Flavian,flavian,595.0
Coumba,coumba,590.0
Moustapha,moustapha,590.0
Lindsey,lindsey,590.0
Talia,talia,590.0
Jessim,jessim,590.0
Gaylord,gaylord,590.0
Batiste,batiste,585.0
Renan,renan,585.0
Leah,leah,585.0
Greg,greg,585.0
Jeremi,jeremi,585.0
Philomene,philomene,585.0
Simeon,simeon,585.0
Elvis,elvis,585.0
Savannah,savannah,580.0
Louan,louan,580.0
Mohamed-Ali,mohamed-ali,580.0
Alya,alya,580.0
Osman,osman,580.0
Jean-Sébastien,jean-sebastien,580.0
Jamila,jamila,580.0
Meghan,meghan,580.0
Ben,ben,580.0
Alexa,alexa,575.0
Frederick,frederick,575.0
Pol,pol,575.0
Lassana,lassana,575.0
Jane,jane,575.0
Emine,emine,575.0
Arielle,arielle,575.0
Quitterie,quitterie,575.0
Nastasia,nastasia,575.0
Cylia,cylia,570.0
Meggy,meggy,570.0
Luce,luce,570.0
Suzon,suzon,570.0
Sherine,sherine,570.0
Amalia,amalia,570.0
Melisa,melisa,570.0
Pierre-Henri,pierre-henri,565.0
Theophane,theophane,565.0
Alissia,alissia,565.0
Antoni,antoni,565.0
Tiphany,tiphany,565.0
Sofien,sofien,565.0
Gina,gina,565.0
Malou,malou,560.0
Oliver,oliver,560.0
Robinson,robinson,560.0
Jibril,jibril,560.0
Kamil,kamil,560.0
Jamel,jamel,560.0
Matias,matias,555.0
Aglae,aglae,555.0
Maely,maely,555.0
Elody,elody,555.0
Lamine,lamine,555.0
Gamze,gamze,555.0
Furkan,furkan,555.0
Sekou,sekou,555.0
Steevy,steevy,555.0
Anne-Gaelle,anne-gaelle,555.0
Noellie,noellie,555.0
Paul-Antoine,paul-antoine,555.0
Maxance,maxance,550.0
Doris,doris,550.0
Serkan,serkan,550.0
Jack,jack,550.0
Maiwen,maiwen,550.0
Abraham,abraham,550.0
Okan,okan,550.0
Mohammad,mohammad,550.0
Lotfi,lotfi,550.0
Monica,monica,550.0
Dolores,dolores,550.0
Mahaut,mahaut,550.0
Valeriane,valeriane,550.0
Beverly,beverly,550.0
Bleuenn,bleuenn,550.0
Marcus,marcus,550.0
Pierre-Olivier,pierre-olivier,550.0
Esma,esma,550.0
Nacim,nacim,545.0
Gwenola,gwenola,545.0
Melia,melia,545.0
Onur,onur,545.0
Tifaine,tifaine,545.0
Martine,martine,545.0
Jenifer,jenifer,545.0
Maryse,maryse,545.0
Sinem,sinem,545.0
Sinan,sinan,545.0
Fannie,fannie,545.0
Tomas,tomas,540.0
Ibtissam,ibtissam,540.0
Livio,livio,540.0
Canelle,canelle,540.0
Frank,frank,540.0
Tea,tea,540.0
Noemy,noemy,535.0
Alec,alec,535.0
Alessia,alessia,535.0
Murielle,murielle,535.0
Armel,armel,535.0
Yelena,yelena,535.0
Cassy,cassy,535.0
Jeoffrey,jeoffrey,535.0
Sulyvan,sulyvan,535.0
Baudouin,baudouin,535.0
Gérard,gerard,530.0
Ysaline,ysaline,530.0
Kessy,kessy,530.0
Medhy,medhy,530.0
Sihame,sihame,530.0
Saida,saida,530.0
Betul,betul,525.0
Chelsea,chelsea,525.0
Junior,junior,525.0
Luke,luke,525.0
Imran,imran,525.0
Melisande,melisande,525.0
Enrique,enrique,525.0
Burak,burak,525.0
Liliane,liliane,525.0
Giovanny,giovanny,525.0
Lounes,lounes,525.0
Eddie,eddie,525.0
Kieran,kieran,520.0
Ava,ava,520.0
Rachida,rachida,520.0
Elysa,elysa,520.0
Claudie,claudie,520.0
Yasser,yasser,520.0
Noura,noura,520.0
Yunus,yunus,520.0
Busra,busra,520.0
Ilhem,ilhem,520.0
Rahma,rahma,520.0
Jean-Jacques,jean-jacques,520.0
Pierre-Alexis,pierre-alexis,520.0
Lora,lora,515.0
Maily,maily,515.0
Mariana,mariana,515.0
Charley,charley,515.0
Flavia,flavia,515.0
Pedro,pedro,515.0
Taylor,taylor,515.0
Gaia,gaia,515.0
Ibtissem,ibtissem,515.0
Ayrton,ayrton,515.0
Eren,eren,515.0
Oriana,oriana,515.0
Daniela,daniela,510.0
Tino,tino,510.0
Jamal,jamal,510.0
Aurele,aurele,510.0
Raymond,raymond,510.0
Abigaelle,abigaelle,510.0
Solen,solen,510.0
Delia,delia,510.0
Nolhan,nolhan,510.0
René,rene,505.0
Rami,rami,505.0
Sadio,sadio,505.0
Mathurin,mathurin,505.0
Morad,morad,505.0
Ylona,ylona,505.0
Slimane,slimane,505.0
Nicole,nicole,505.0
Aimée,aimee,505.0
Colline,colline,500.0
Othmane,othmane,500.0
Florianne,florianne,500.0
Kubra,kubra,500.0
Auxane,auxane,500.0
Jad,jad,500.0
Bianca,bianca,500.0
Balthazar,balthazar,500.0
Ebru,ebru,500.0
Blaise,blaise,500.0
Alexine,alexine,500.0
Marie-Claire,marie-claire,500.0
Smain,smain,500.0
Leandro,leandro,500.0
