search_name,norm,naissances
Fares,fares,2435.0
André,andre,2435.0
Typhaine,typhaine,2435.0
Adelaide,adelaide,2425.0
Ulysse,ulysse,2425.0
Tiphanie,tiphanie,2420.0
Louisa,louisa,2420.0
Marwan,marwan,2420.0
Luka,luka,2390.0
Noam,noam,2390.0
Lou-Ann,lou-ann,2390.0
Ewan,ewan,2385.0
Marin,marin,2385.0
Elouan,elouan,2385.0
Ariane,ariane,2385.0
Steeve,steeve,2370.0
Rania,rania,2360.0
Josselin,josselin,2355.0
Steeven,steeven,2350.0
Hugues,hugues,2325.0
Sabri,sabri,2325.0
Aicha,aicha,2320.0
Nino,nino,2320.0
Marc-Antoine,marc-antoine,2315.0
Adrian,adrian,2295.0
Leonard,leonard,2270.0
Léon,leon,2265.0
Willy,willy,2260.0
Emmy,emmy,2250.0
Alexane,alexane,2250.0
Samira,samira,2245.0
Reda,reda,2245.0
Ségolène,segolene,2245.0
Melvyn,melvyn,2245.0
Victorien,victorien,2240.0
Paloma,paloma,2240.0
Malika,malika,2235.0
Mamadou,mamadou,2230.0
Jessie,jessie,2230.0
Hicham,hicham,2230.0
Jasmine,jasmine,2225.0
Sam,sam,2220.0
Stephen,stephen,2210.0
Yassin,yassin,2205.0
Clelia,clelia,2200.0
Joan,joan,2200.0
Marjolaine,marjolaine,2200.0
Betty,betty,2190.0
Brahim,brahim,2185.0
Wassim,wassim,2180.0
Kenzo,kenzo,2170.0
Gilles,gilles,2170.0
Jordane,jordane,2165.0
Edgar,edgar,2160.0
Judith,judith,2160.0
Jocelyn,jocelyn,2155.0
Solenne,solenne,2150.0
Nour,nour,2145.0
Come,come,2145.0
Ivan,ivan,2135.0
Dominique,dominique,2135.0
Paola,paola,2130.0
Maude,maude,2130.0
Hippolyte,hippolyte,2130.0
Léandre,leandre,2120.0
Sephora,sephora,2115.0
Gwladys,gwladys,2105.0
Kamel,kamel,2105.0
Mario,mario,2095.0
Chris,chris,2095.0
Honorine,honorine,2090.0
Shirley,shirley,2090.0
Mona,mona,2085.0
Leopold,leopold,2085.0
Maurine,maurine,2085.0
Selim,selim,2080.0
Carine,carine,2075.0
Sixtine,sixtine,2070.0
Isaac,isaac,2055.0
Aubin,aubin,2050.0
Sylvie,sylvie,2045.0
Angela,angela,2040.0
Pierre-Antoine,pierre-antoine,2040.0
Mathilda,mathilda,2040.0
Yael,yael,2035.0
Swann,swann,2035.0
Bertille,bertille,2030.0
Idriss,idriss,2015.0
Lorine,lorine,2015.0
Ismail,ismail,2015.0
Amira,amira,2010.0
Siham,siham,2010.0
Loick,loick,2005.0
Nancy,nancy,2005.0
Geoffroy,geoffroy,2000.0
Safia,safia,1990.0
Tamara,tamara,1985.0
Christina,christina,1980.0
Roméo,romeo,1975.0
Alycia,alycia,1970.0
Romaric,romaric,1965.0
Eline,eline,1960.0
Owen,owen,1955.0
Orane,orane,1950.0
Joana,joana,1930.0
Wesley,wesley,1920.0
Christine,christine,1920.0
Angel,angel,1910.0
Dan,dan,1910.0
Joy,joy,1905.0
Rodrigue,rodrigue,1905.0
Soline,soline,1900.0
Cesar,cesar,1900.0
Mohammed,mohammed,1895.0
Marylou,marylou,1895.0
Amir,amir,1895.0
Marilou,marilou,1890.0
Manuella,manuella,1885.0
Alyssia,alyssia,1875.0
Lorie,lorie,1875.0
